"nameLast","nameFirst","playerID","Age","year","reliability","mPA","mAB","mR","mH","m2B","m3B","mHR","mRBI","mSB","mCS","mBB","mSO","mIBB","mHBP","mSH","mSF","mGIDP"
"Ripken Jr.","Cal","ripkeca01",44,2004,0.56,200.00,183.00,19.00,44.00,7.00,0.00,5.00,24.00,1.00,1.00,13.00,28.00,1.00,1.00,1.00,2.00,5.00
"Rivas","Luis","rivaslu01",25,2004,0.83,495.00,448.00,64.00,121.00,21.00,6.00,8.00,46.00,15.00,6.00,32.00,68.00,1.00,5.00,7.00,3.00,15.00
"Rivera","Carlos","riverca01",26,2004,0.31,254.00,225.00,31.00,58.00,12.00,1.00,7.00,29.00,3.00,1.00,21.00,48.00,3.00,3.00,2.00,3.00,5.00
"Rivera","Juan","riverju01",26,2004,0.52,302.00,275.00,36.00,74.00,18.00,1.00,9.00,37.00,3.00,1.00,22.00,43.00,2.00,1.00,2.00,2.00,10.00
"Rivera","Mike","rivermi02",28,2004,0.42,243.00,222.00,25.00,55.00,12.00,1.00,5.00,24.00,2.00,1.00,17.00,45.00,1.00,2.00,1.00,1.00,8.00
"Rivera","Ruben","riverru01",31,2004,0.61,246.00,218.00,28.00,53.00,10.00,1.00,7.00,25.00,4.00,2.00,20.00,54.00,1.00,4.00,2.00,2.00,4.00
"Roberts","Brian","roberbr01",27,2004,0.77,471.00,423.00,61.00,112.00,21.00,3.00,6.00,40.00,18.00,5.00,39.00,59.00,1.00,2.00,4.00,3.00,8.00
"Roberts","Dave","roberda07",32,2004,0.78,468.00,414.00,60.00,109.00,13.00,5.00,5.00,32.00,33.00,10.00,44.00,52.00,1.00,4.00,5.00,1.00,3.00
"Robinson","Kerry","robinke02",31,2004,0.68,330.00,302.00,40.00,79.00,12.00,4.00,4.00,29.00,9.00,3.00,20.00,44.00,3.00,2.00,4.00,2.00,4.00
"Rodriguez","Alex","rodrial01",29,2004,0.88,630.00,544.00,107.00,163.00,27.00,3.00,41.00,109.00,11.00,3.00,70.00,107.00,8.00,11.00,0.00,5.00,14.00
"Rodriguez","Henry","rodrihe02",37,2004,0.09,202.00,179.00,23.00,43.00,9.00,1.00,5.00,23.00,3.00,1.00,18.00,37.00,1.00,2.00,1.00,2.00,4.00
"Rodriguez","Ivan","rodriiv01",33,2004,0.83,533.00,484.00,78.00,143.00,32.00,3.00,19.00,73.00,8.00,4.00,39.00,84.00,4.00,5.00,1.00,4.00,15.00
